Name,URL,Description,Count,Last Date
godly-devotion / mochi-diffusion,https://github.com/godly-devotion/mochi-diffusion,Run Stable Diffusion on Apple Silicon Macs natively,1,2022-12-31
Dimillian / IceCubesApp,https://github.com/Dimillian/IceCubesApp,A SwiftUI Mastodon client,1,2022-12-31
Alamofire / Alamofire,https://github.com/Alamofire/Alamofire,Elegant HTTP Networking in Swift,1,2022-12-31
danielgindi / Charts,https://github.com/danielgindi/Charts,Beautiful charts for iOS/tvOS/OSX! The Apple side of the crossplatform MPAndroidChart.,1,2022-12-31
zhuowei / WDBFontOverwrite,https://github.com/zhuowei/WDBFontOverwrite,Proof-of-concept app to overwrite fonts on iOS using CVE-2022-46689.,1,2022-12-31
Quick / Nimble,https://github.com/Quick/Nimble,A Matcher Framework for Swift and Objective-C,1,2022-12-31
facebook / facebook-ios-sdk,https://github.com/facebook/facebook-ios-sdk,Used to integrate the Facebook Platform with your iOS & tvOS apps.,1,2022-12-31
groue / GRDB.swift,https://github.com/groue/GRDB.swift,"A toolkit for SQLite databases, with a focus on application development",1,2022-12-31
pointfreeco / swift-composable-architecture,https://github.com/pointfreeco/swift-composable-architecture,"A library for building applications in a consistent and understandable way, with composition, testing, and ergonomics in mind.",1,2022-12-31
aws-amplify / amplify-swift,https://github.com/aws-amplify/amplify-swift,A declarative library for application development using cloud services.,1,2022-12-31
tuist / tuist,https://github.com/tuist/tuist,🚀,1,2022-12-31
HeroTransitions / Hero,https://github.com/HeroTransitions/Hero,Elegant transition library for iOS & tvOS,1,2022-12-31
apollographql / apollo-ios,https://github.com/apollographql/apollo-ios,📱,1,2022-12-31
apple / swift-log,https://github.com/apple/swift-log,A Logging API for Swift,1,2022-12-31
sindresorhus / Plash,https://github.com/sindresorhus/Plash,💦,1,2022-12-31
nicklockwood / SwiftFormat,https://github.com/nicklockwood/SwiftFormat,A command-line tool and Xcode Extension for formatting Swift code,1,2022-12-31
vapor / vapor,https://github.com/vapor/vapor,💧,1,2022-12-31
airbnb / lottie-ios,https://github.com/airbnb/lottie-ios,An iOS library to natively render After Effects vector animations,1,2022-12-31
justjake / Gauss,https://github.com/justjake/Gauss,Stable Diffusion macOS native app,1,2022-12-31
mrousavy / react-native-vision-camera,https://github.com/mrousavy/react-native-vision-camera,📸,1,2022-12-31
fermoya / SwiftUIPager,https://github.com/fermoya/SwiftUIPager,Native Pager in SwiftUI,1,2022-12-31
jellyfin / Swiftfin,https://github.com/jellyfin/Swiftfin,Native Jellyfin Client for iOS and tvOS,1,2022-12-31
scenee / FloatingPanel,https://github.com/scenee/FloatingPanel,A clean and easy-to-use floating panel UI component for iOS,1,2022-12-31
AudioKit / AudioKit,https://github.com/AudioKit/AudioKit,"Swift audio synthesis, processing, & analysis platform for iOS, macOS and tvOS",1,2022-12-31
SDWebImage / SDWebImageSwiftUI,https://github.com/SDWebImage/SDWebImageSwiftUI,SwiftUI Image loading and Animation framework powered by SDWebImage,1,2022-12-31
zhuowei / WDBFontOverwrite,https://github.com/zhuowei/WDBFontOverwrite,Proof-of-concept app to overwrite fonts on iOS using CVE-2022-46689.,1,2022-12-30
vapor / vapor,https://github.com/vapor/vapor,💧,1,2022-12-30
danielgindi / Charts,https://github.com/danielgindi/Charts,Beautiful charts for iOS/tvOS/OSX! The Apple side of the crossplatform MPAndroidChart.,1,2022-12-30
pointfreeco / swift-composable-architecture,https://github.com/pointfreeco/swift-composable-architecture,"A library for building applications in a consistent and understandable way, with composition, testing, and ergonomics in mind.",1,2022-12-30
godly-devotion / mochi-diffusion,https://github.com/godly-devotion/mochi-diffusion,Run Stable Diffusion on Apple Silicon Macs natively,1,2022-12-30
apollographql / apollo-ios,https://github.com/apollographql/apollo-ios,📱,1,2022-12-30
c22dev / TrollBox,https://github.com/c22dev/TrollBox,A TrollStore app that embed all TrollStore tools,1,2022-12-30
Alamofire / Alamofire,https://github.com/Alamofire/Alamofire,Elegant HTTP Networking in Swift,1,2022-12-30
kodecocodes / swift-algorithm-club,https://github.com/kodecocodes/swift-algorithm-club,"Algorithms and data structures in Swift, with explanations!",1,2022-12-30
SwiftUIX / SwiftUIX,https://github.com/SwiftUIX/SwiftUIX,Extensions and additions to the standard SwiftUI library.,1,2022-12-30
vsouza / awesome-ios,https://github.com/vsouza/awesome-ios,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects",1,2022-12-30
huggingface / swift-coreml-diffusers,https://github.com/huggingface/swift-coreml-diffusers,Swift app demonstrating Core ML Stable Diffusion,1,2022-12-30
Quick / Nimble,https://github.com/Quick/Nimble,A Matcher Framework for Swift and Objective-C,1,2022-12-30
toptal / gitignore.io,https://github.com/toptal/gitignore.io,Create useful .gitignore files for your project,1,2022-12-30
bizz84 / SwiftyStoreKit,https://github.com/bizz84/SwiftyStoreKit,"Lightweight In App Purchases Swift framework for iOS 8.0+, tvOS 9.0+ and macOS 10.10+",1,2022-12-30
groue / GRDB.swift,https://github.com/groue/GRDB.swift,"A toolkit for SQLite databases, with a focus on application development",1,2022-12-30
Moya / Moya,https://github.com/Moya/Moya,Network abstraction layer written in Swift.,1,2022-12-30
yichengchen / clashX,https://github.com/yichengchen/clashX,,1,2022-12-30
lwouis / alt-tab-macos,https://github.com/lwouis/alt-tab-macos,Windows alt-tab on macOS,1,2022-12-30
facebook / facebook-ios-sdk,https://github.com/facebook/facebook-ios-sdk,Used to integrate the Facebook Platform with your iOS & tvOS apps.,1,2022-12-30
SDWebImage / SDWebImageSwiftUI,https://github.com/SDWebImage/SDWebImageSwiftUI,SwiftUI Image loading and Animation framework powered by SDWebImage,1,2022-12-30
RevenueCat / purchases-ios,https://github.com/RevenueCat/purchases-ios,"In-app purchases and subscriptions made easy. Support for iOS, iPadOS, watchOS, and Mac.",1,2022-12-30
mozilla-mobile / firefox-ios,https://github.com/mozilla-mobile/firefox-ios,Firefox for iOS,1,2022-12-30
utmapp / UTM,https://github.com/utmapp/UTM,Virtual machines for iOS and macOS,1,2022-12-30
onevcat / Kingfisher,https://github.com/onevcat/Kingfisher,"A lightweight, pure-Swift library for downloading and caching images from the web.",1,2022-12-30
zhuowei / WDBFontOverwrite,https://github.com/zhuowei/WDBFontOverwrite,Proof-of-concept app to overwrite fonts on iOS using CVE-2022-46689.,1,2022-12-29
SDWebImage / SDWebImageSwiftUI,https://github.com/SDWebImage/SDWebImageSwiftUI,SwiftUI Image loading and Animation framework powered by SDWebImage,1,2022-12-29
vapor / vapor,https://github.com/vapor/vapor,💧,1,2022-12-29
pointfreeco / swift-composable-architecture,https://github.com/pointfreeco/swift-composable-architecture,"A library for building applications in a consistent and understandable way, with composition, testing, and ergonomics in mind.",1,2022-12-29
mrousavy / react-native-vision-camera,https://github.com/mrousavy/react-native-vision-camera,📸,1,2022-12-29
Dimillian / IceCubesApp,https://github.com/Dimillian/IceCubesApp,A SwiftUI Mastodon client,1,2022-12-29
scinfu / SwiftSoup,https://github.com/scinfu/SwiftSoup,"SwiftSoup: Pure Swift HTML Parser, with best of DOM, CSS, and jquery (Supports Linux, iOS, Mac, tvOS, watchOS)",1,2022-12-29
Alamofire / Alamofire,https://github.com/Alamofire/Alamofire,Elegant HTTP Networking in Swift,1,2022-12-29
SwifterSwift / SwifterSwift,https://github.com/SwifterSwift/SwifterSwift,A handy collection of more than 500 native Swift extensions to boost your productivity.,1,2022-12-29
c22dev / TrollBox,https://github.com/c22dev/TrollBox,A TrollStore app that embed all TrollStore tools,1,2022-12-29
malcommac / SwiftDate,https://github.com/malcommac/SwiftDate,🐔,1,2022-12-29
twostraws / HackingWithSwift,https://github.com/twostraws/HackingWithSwift,The project source code for hackingwithswift.com,1,2022-12-29
mxcl / PromiseKit,https://github.com/mxcl/PromiseKit,Promises for Swift & ObjC.,1,2022-12-29
ReactiveX / RxSwift,https://github.com/ReactiveX/RxSwift,Reactive Programming in Swift,1,2022-12-29
mikeroyal / Apple-Silicon-Guide,https://github.com/mikeroyal/Apple-Silicon-Guide,"Apple Silicon Guide. Learn all about the A16 Bionic, M1, M1 Pro, M1 Max, M1 Ultra, and M2 chips. Along with all the Devices, Operating Systems, Tools, and Software that Apple Silicon powers.",1,2022-12-29
Quick / Nimble,https://github.com/Quick/Nimble,A Matcher Framework for Swift and Objective-C,1,2022-12-29
sindresorhus / Defaults,https://github.com/sindresorhus/Defaults,💾,1,2022-12-29
apple / swift-package-manager,https://github.com/apple/swift-package-manager,The Package Manager for the Swift Programming Language,1,2022-12-29
SwiftUIX / SwiftUIX,https://github.com/SwiftUIX/SwiftUIX,Extensions and additions to the standard SwiftUI library.,1,2022-12-29
insidegui / MacPreviewUtils,https://github.com/insidegui/MacPreviewUtils,Handy tools for SwiftUI previews on macOS.,1,2022-12-29
jessesquires / Foil,https://github.com/jessesquires/Foil,A lightweight property wrapper for UserDefaults done right,1,2022-12-29
alyssaxuu / later,https://github.com/alyssaxuu/later,Save all your Mac apps for later with one click,1,2022-12-29
nicklockwood / SwiftFormat,https://github.com/nicklockwood/SwiftFormat,A command-line tool and Xcode Extension for formatting Swift code,1,2022-12-29
stephencelis / SQLite.swift,https://github.com/stephencelis/SQLite.swift,"A type-safe, Swift-language layer over SQLite3.",1,2022-12-29
aws-amplify / amplify-swift,https://github.com/aws-amplify/amplify-swift,A declarative library for application development using cloud services.,1,2022-12-29
mikeroyal / Apple-Silicon-Guide,https://github.com/mikeroyal/Apple-Silicon-Guide,"Apple Silicon Guide. Learn all about the A16 Bionic, M1, M1 Pro, M1 Max, M1 Ultra, and M2 chips. Along with all the Devices, Operating Systems, Tools, and Software that Apple Silicon powers.",1,2022-12-28
Dimillian / IceCubesApp,https://github.com/Dimillian/IceCubesApp,A SwiftUI Mastodon client,1,2022-12-28
PlayCover / PlayCover,https://github.com/PlayCover/PlayCover,Community fork of PlayCover,1,2022-12-28
nextcloud / ios,https://github.com/nextcloud/ios,📱,1,2022-12-28
exelban / stats,https://github.com/exelban/stats,macOS system monitor in your menu bar,1,2022-12-28
vapor / vapor,https://github.com/vapor/vapor,💧,1,2022-12-28
coteditor / CotEditor,https://github.com/coteditor/CotEditor,Lightweight Plain-Text Editor for macOS,1,2022-12-28
apple / swift-syntax,https://github.com/apple/swift-syntax,"A set of Swift libraries for parsing, inspecting, generating, and transforming Swift source code.",1,2022-12-28
krzyzanowskim / CryptoSwift,https://github.com/krzyzanowskim/CryptoSwift,CryptoSwift is a growing collection of standard and secure cryptographic algorithms implemented in Swift,1,2022-12-28
onevcat / Kingfisher,https://github.com/onevcat/Kingfisher,"A lightweight, pure-Swift library for downloading and caching images from the web.",1,2022-12-28
AnimeNow-Team / AnimeNow,https://github.com/AnimeNow-Team/AnimeNow,Watch your favorite anime shows anywhere! Built with SwiftUI and TCA.,1,2022-12-28
malcommac / SwiftDate,https://github.com/malcommac/SwiftDate,🐔,1,2022-12-28
stephencelis / SQLite.swift,https://github.com/stephencelis/SQLite.swift,"A type-safe, Swift-language layer over SQLite3.",1,2022-12-28
Alamofire / Alamofire,https://github.com/Alamofire/Alamofire,Elegant HTTP Networking in Swift,1,2022-12-28
p0deje / Maccy,https://github.com/p0deje/Maccy,Lightweight clipboard manager for macOS,1,2022-12-28
Juanpe / SkeletonView,https://github.com/Juanpe/SkeletonView,☠️,1,2022-12-28
kean / Nuke,https://github.com/kean/Nuke,Image loading system,1,2022-12-28
yonaskolb / XcodeGen,https://github.com/yonaskolb/XcodeGen,A Swift command line tool for generating your Xcode project,1,2022-12-28
SwifterSwift / SwifterSwift,https://github.com/SwifterSwift/SwifterSwift,A handy collection of more than 500 native Swift extensions to boost your productivity.,1,2022-12-28
bitgapp / eqMac,https://github.com/bitgapp/eqMac,macOS System-wide Audio Equalizer & Volume Mixer,1,2022-12-28
SwiftyJSON / SwiftyJSON,https://github.com/SwiftyJSON/SwiftyJSON,The better way to deal with JSON data in Swift.,1,2022-12-28
peripheryapp / periphery,https://github.com/peripheryapp/periphery,A tool to identify unused code in Swift projects.,1,2022-12-28
ReactiveX / RxSwift,https://github.com/ReactiveX/RxSwift,Reactive Programming in Swift,1,2022-12-28
XITRIX / iTorrent,https://github.com/XITRIX/iTorrent,Torrent client for iOS 9.3+,1,2022-12-28
