Name,URL,Description,Count,Last Date
alist-org / alist,https://github.com/alist-org/alist,🗂️,1,2022-12-31
ChatGPT-Hackers / ChatGPT-API-server,https://github.com/ChatGPT-Hackers/ChatGPT-API-server,API server for ChatGPT,1,2022-12-31
google / btree,https://github.com/google/btree,"BTree provides a simple, ordered, in-memory data structure for Go programs.",1,2022-12-31
sirupsen / logrus,https://github.com/sirupsen/logrus,"Structured, pluggable logging for Go.",1,2022-12-31
zinclabs / zinc,https://github.com/zinclabs/zinc,"ZincSearch. A lightweight alternative to elasticsearch that requires minimal resources, written in Go.",1,2022-12-31
HavocFramework / Havoc,https://github.com/HavocFramework/Havoc,The Havoc Framework.,1,2022-12-31
google / osv-scanner,https://github.com/google/osv-scanner,Vulnerability scanner written in Go which uses the data provided by https://osv.dev,1,2022-12-31
aws / karpenter,https://github.com/aws/karpenter,"Kubernetes Node Autoscaling: built for flexibility, performance, and simplicity.",1,2022-12-31
json-iterator / go,https://github.com/json-iterator/go,"A high-performance 100% compatible drop-in replacement of ""encoding/json""",1,2022-12-31
rclone / rclone,https://github.com/rclone/rclone,"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Yandex Files",1,2022-12-31
kubernetes / minikube,https://github.com/kubernetes/minikube,Run Kubernetes locally,1,2022-12-31
zeromicro / go-zero,https://github.com/zeromicro/go-zero,A cloud-native Go microservices framework with cli tool for productivity.,1,2022-12-31
kubernetes-sigs / external-dns,https://github.com/kubernetes-sigs/external-dns,"Configure external DNS servers (AWS Route53, Google CloudDNS and others) for Kubernetes Ingresses and Services",1,2022-12-31
hashicorp / raft,https://github.com/hashicorp/raft,Golang implementation of the Raft consensus protocol,1,2022-12-31
containers / buildah,https://github.com/containers/buildah,A tool that facilitates building OCI images.,1,2022-12-31
go-redis / redis,https://github.com/go-redis/redis,Type-safe Redis client for Golang,1,2022-12-31
VictoriaMetrics / VictoriaMetrics,https://github.com/VictoriaMetrics/VictoriaMetrics,"VictoriaMetrics: fast, cost-effective monitoring solution and time series database",1,2022-12-31
