Name,URL,Description,Count,Last Date
utmapp / UTM,https://github.com/utmapp/UTM,Virtual machines for iOS and macOS,1,2023-10-01
pointfreeco / swift-composable-architecture,https://github.com/pointfreeco/swift-composable-architecture,"A library for building applications in a consistent and understandable way, with composition, testing, and ergonomics in mind.",1,2023-10-01
p0deje / Maccy,https://github.com/p0deje/Maccy,Lightweight clipboard manager for macOS,1,2023-10-01
apple / swift-async-algorithms,https://github.com/apple/swift-async-algorithms,Async Algorithms for Swift,1,2023-10-01
Whisky-App / Whisky,https://github.com/Whisky-App/Whisky,A modern Wine wrapper for macOS built with SwiftUI,1,2023-10-01
pointfreeco / swift-snapshot-testing,https://github.com/pointfreeco/swift-snapshot-testing,📸 Delightful Swift snapshot testing.,1,2023-10-01
MacPaw / OpenAI,https://github.com/MacPaw/OpenAI,Swift community driven package for OpenAI public API,1,2023-10-01
grishka / NearDrop,https://github.com/grishka/NearDrop,An unofficial Google Nearby Share app for macOS,1,2023-10-01
groue / GRDB.swift,https://github.com/groue/GRDB.swift,"A toolkit for SQLite databases, with a focus on application development",1,2023-10-01
apple / swift-syntax,https://github.com/apple/swift-syntax,"A set of Swift libraries for parsing, inspecting, generating, and transforming Swift source code.",1,2023-10-01
lwouis / alt-tab-macos,https://github.com/lwouis/alt-tab-macos,Windows alt-tab on macOS,1,2023-10-01
nextcloud / ios,https://github.com/nextcloud/ios,📱 Nextcloud iOS App,1,2023-10-01
pointfreeco / swift-dependencies,https://github.com/pointfreeco/swift-dependencies,"A dependency management library inspired by SwiftUI's ""environment.""",1,2023-10-01
insidegui / VirtualBuddy,https://github.com/insidegui/VirtualBuddy,"Virtualize macOS 12 and later on Apple Silicon, VirtualBuddy is a virtual machine GUI for macOS M1 & M2",1,2023-10-01
apollographql / apollo-ios,https://github.com/apollographql/apollo-ios,"📱  A strongly-typed, caching GraphQL client for iOS, written in Swift.",1,2023-10-01
tuist / tuist,https://github.com/tuist/tuist,"🚀 Create, maintain, and interact with Xcode projects at scale",1,2023-10-01
facebook / facebook-ios-sdk,https://github.com/facebook/facebook-ios-sdk,Used to integrate the Facebook Platform with your iOS & tvOS apps.,1,2023-10-01
yonaskolb / XcodeGen,https://github.com/yonaskolb/XcodeGen,A Swift command line tool for generating your Xcode project,1,2023-10-01
onevcat / Kingfisher,https://github.com/onevcat/Kingfisher,"A lightweight, pure-Swift library for downloading and caching images from the web.",1,2023-10-01
kean / Nuke,https://github.com/kean/Nuke,Image loading system,1,2023-10-01
SwiftGen / SwiftGen,https://github.com/SwiftGen/SwiftGen,"The Swift code generator for your assets, storyboards, Localizable.strings, … — Get rid of all String-based APIs!",1,2023-10-01
jamf / aftermath,https://github.com/jamf/aftermath,Aftermath is a free macOS IR framework,1,2023-10-01
AudioKit / AudioKit,https://github.com/AudioKit/AudioKit,"Audio synthesis, processing, & analysis platform for iOS, macOS and tvOS",1,2023-10-01
apple / swift-format,https://github.com/apple/swift-format,Formatting technology for Swift source code,1,2023-10-01
nicklockwood / SwiftFormat,https://github.com/nicklockwood/SwiftFormat,A command-line tool and Xcode Extension for formatting Swift code,1,2023-10-01
grishka / NearDrop,https://github.com/grishka/NearDrop,An unofficial Google Nearby Share app for macOS,1,2023-09-30
apple / swift-async-algorithms,https://github.com/apple/swift-async-algorithms,Async Algorithms for Swift,1,2023-09-30
Whisky-App / Whisky,https://github.com/Whisky-App/Whisky,A modern Wine wrapper for macOS built with SwiftUI,1,2023-09-30
daltoniam / Starscream,https://github.com/daltoniam/Starscream,Websockets in swift for iOS and OSX,1,2023-09-30
airbnb / lottie-ios,https://github.com/airbnb/lottie-ios,An iOS library to natively render After Effects vector animations,1,2023-09-30
PlayCover / PlayCover,https://github.com/PlayCover/PlayCover,Community fork of PlayCover,1,2023-09-30
apple / swift-nio,https://github.com/apple/swift-nio,"Event-driven network application framework for high performance protocol servers & clients, non-blocking.",1,2023-09-30
insidegui / VirtualBuddy,https://github.com/insidegui/VirtualBuddy,"Virtualize macOS 12 and later on Apple Silicon, VirtualBuddy is a virtual machine GUI for macOS M1 & M2",1,2023-09-30
apple / swift-http-types,https://github.com/apple/swift-http-types,Version-independent HTTP currency types for Swift,1,2023-09-30
apple / swift-format,https://github.com/apple/swift-format,Formatting technology for Swift source code,1,2023-09-30
krzyzanowskim / CryptoSwift,https://github.com/krzyzanowskim/CryptoSwift,CryptoSwift is a growing collection of standard and secure cryptographic algorithms implemented in Swift,1,2023-09-30
apollographql / apollo-ios,https://github.com/apollographql/apollo-ios,"📱  A strongly-typed, caching GraphQL client for iOS, written in Swift.",1,2023-09-30
realm / SwiftLint,https://github.com/realm/SwiftLint,A tool to enforce Swift style and conventions.,1,2023-09-30
apple / swift-syntax,https://github.com/apple/swift-syntax,"A set of Swift libraries for parsing, inspecting, generating, and transforming Swift source code.",1,2023-09-30
pointfreeco / swift-composable-architecture,https://github.com/pointfreeco/swift-composable-architecture,"A library for building applications in a consistent and understandable way, with composition, testing, and ergonomics in mind.",1,2023-09-30
siteline / swiftui-introspect,https://github.com/siteline/swiftui-introspect,Introspect underlying UIKit/AppKit components from SwiftUI,1,2023-09-30
apple / swift-protobuf,https://github.com/apple/swift-protobuf,Plugin and runtime library for using protobuf with Swift,1,2023-09-30
tuist / tuist,https://github.com/tuist/tuist,"🚀 Create, maintain, and interact with Xcode projects at scale",1,2023-09-30
facebook / facebook-ios-sdk,https://github.com/facebook/facebook-ios-sdk,Used to integrate the Facebook Platform with your iOS & tvOS apps.,1,2023-09-30
aws-amplify / amplify-swift,https://github.com/aws-amplify/amplify-swift,A declarative library for application development using cloud services.,1,2023-09-30
ReactiveX / RxSwift,https://github.com/ReactiveX/RxSwift,Reactive Programming in Swift,1,2023-09-30
lwouis / alt-tab-macos,https://github.com/lwouis/alt-tab-macos,Windows alt-tab on macOS,1,2023-09-30
mapbox / mapbox-maps-ios,https://github.com/mapbox/mapbox-maps-ios,"Interactive, thoroughly customizable maps for iOS powered by vector tiles and Metal",1,2023-09-30
scenee / FloatingPanel,https://github.com/scenee/FloatingPanel,A clean and easy-to-use floating panel UI component for iOS,1,2023-09-30
vapor / vapor,https://github.com/vapor/vapor,💧 A server-side Swift HTTP web framework.,1,2023-09-30
grishka / NearDrop,https://github.com/grishka/NearDrop,An unofficial Google Nearby Share app for macOS,1,2023-09-29
ReactiveX / RxSwift,https://github.com/ReactiveX/RxSwift,Reactive Programming in Swift,1,2023-09-29
krzyzanowskim / CryptoSwift,https://github.com/krzyzanowskim/CryptoSwift,CryptoSwift is a growing collection of standard and secure cryptographic algorithms implemented in Swift,1,2023-09-29
daltoniam / Starscream,https://github.com/daltoniam/Starscream,Websockets in swift for iOS and OSX,1,2023-09-29
