Name,URL,Description,Count,Last Date
Soulter / AstrBot,https://github.com/Soulter/AstrBot,✨ 易上手的多平台 LLM 聊天机器人及开发框架 ✨ 平台支持 QQ、QQ频道、Telegram、微信、企微、飞书 | OpenAI、DeepSeek、Gemini、硅基流动、月之暗面、Ollama、OneAPI、Dify 等。附带 WebUI。,1,2025-03-05
jjleng / copilot-more,https://github.com/jjleng/copilot-more,GPT-4o and Claude-3.7-Sonnet APIs for coding.,1,2025-03-05
volcengine / verl,https://github.com/volcengine/verl,verl: Volcano Engine Reinforcement Learning for LLMs,1,2025-03-05
huggingface / pytorch-image-models,https://github.com/huggingface/pytorch-image-models,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT), MobileNetV4, MobileNet-V3 & V2, RegNet, DPN, CSPNet, Swin Transformer, MaxViT, CoAtNet, ConvNeXt, and more",1,2025-03-05
allenai / olmocr,https://github.com/allenai/olmocr,Toolkit for linearizing PDFs for LLM datasets/training,1,2025-03-05
opendatalab / MinerU,https://github.com/opendatalab/MinerU,A high-quality tool for convert PDF to Markdown and JSON.一站式开源高质量数据提取工具，将PDF转换成Markdown和JSON格式。,1,2025-03-05
stanford-oval / storm,https://github.com/stanford-oval/storm,An LLM-powered knowledge curation system that researches a topic and generates a full-length report with citations.,1,2025-03-05
linsomniac / spotify_to_ytmusic,https://github.com/linsomniac/spotify_to_ytmusic,Copy playlists and liked music from Spotify to YTMusic,1,2025-03-05
comfyanonymous / ComfyUI,https://github.com/comfyanonymous/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",1,2025-03-05
oppia / oppia,https://github.com/oppia/oppia,"A free, online learning platform to make quality education accessible for all.",1,2025-03-05
allenai / olmocr,https://github.com/allenai/olmocr,Toolkit for linearizing PDFs for LLM datasets/training,1,2025-03-04
freddyaboulton / fastrtc,https://github.com/freddyaboulton/fastrtc,The python library for real-time communication,1,2025-03-04
landing-ai / vision-agent,https://github.com/landing-ai/vision-agent,Vision agent,1,2025-03-04
ocrmypdf / OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched",1,2025-03-04
Soulter / AstrBot,https://github.com/Soulter/AstrBot,✨ 易上手的多平台 LLM 聊天机器人及开发框架 ✨ 平台支持 QQ、QQ频道、Telegram、微信、企微、飞书 | OpenAI、DeepSeek、Gemini、硅基流动、月之暗面、Ollama、OneAPI、Dify 等。附带 WebUI。,1,2025-03-04
mem0ai / mem0,https://github.com/mem0ai/mem0,The Memory layer for AI Agents,1,2025-03-04
jjleng / copilot-more,https://github.com/jjleng/copilot-more,GPT-4o and Claude-3.7-Sonnet APIs for coding.,1,2025-03-04
ltdrdata / ComfyUI-Manager,https://github.com/ltdrdata/ComfyUI-Manager,"ComfyUI-Manager is an extension designed to enhance the usability of ComfyUI. It offers management functions to install, remove, disable, and enable various custom nodes of ComfyUI. Furthermore, this extension provides a hub feature and convenience functions to access a wide range of information within ComfyUI.",1,2025-03-04
donnemartin / system-design-primer,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,1,2025-03-04
sagemath / sage,https://github.com/sagemath/sage,Main repository of SageMath,1,2025-03-04
ManimCommunity / manim,https://github.com/ManimCommunity/manim,A community-maintained Python framework for creating mathematical animations.,1,2025-03-04
freddyaboulton / fastrtc,https://github.com/freddyaboulton/fastrtc,The python library for real-time communication,1,2025-03-03
allenai / olmocr,https://github.com/allenai/olmocr,Toolkit for linearizing PDFs for LLM datasets/training,1,2025-03-03
Soulter / AstrBot,https://github.com/Soulter/AstrBot,✨易上手的多平台 LLM 聊天机器人及开发框架✨。支持 QQ、QQ频道、Telegram、微信个人号(Gewechat)、企业微信、飞书、内置 Web Chat，OpenAI GPT、DeepSeek、Ollama、Llama、GLM、Gemini、硅基流动、月之暗面、OneAPI、LLMTuner，支持 LLM Agent 插件开发，可视化面板。一键部署。支持 Dify 工作流、代码执行器、Whisper 语音转文字。,1,2025-03-03
landing-ai / vision-agent,https://github.com/landing-ai/vision-agent,Vision agent,1,2025-03-03
microsoft / qlib,https://github.com/microsoft/qlib,"Qlib is an AI-oriented quantitative investment platform that aims to realize the potential, empower research, and create value using AI technologies in quantitative investment, from exploring ideas to implementing productions. Qlib supports diverse machine learning modeling paradigms. including supervised learning, market dynamics modeling, and RL.",1,2025-03-03
baihengaead / wifi-crack-tool,https://github.com/baihengaead/wifi-crack-tool,WiFi密码暴力破解工具-图形界面，支持WPA/WPA2/WPA3、多开并发、自动破解、自定义密码本、自动生成密码字典,1,2025-03-03
VRSEN / agency-swarm,https://github.com/VRSEN/agency-swarm,The only reliable agent framework built on top of the latest OpenAI Assistants API.,1,2025-03-03
donnemartin / system-design-primer,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,1,2025-03-03
All-Hands-AI / OpenHands,https://github.com/All-Hands-AI/OpenHands,"🙌 OpenHands: Code Less, Make More",1,2025-03-03
casualsnek / waydroid_script,https://github.com/casualsnek/waydroid_script,"Python Script to add OpenGapps, Magisk, libhoudini translation library and libndk translation library to waydroid !",1,2025-03-03
emmabostian / developer-portfolios,https://github.com/emmabostian/developer-portfolios,A list of developer portfolios for your inspiration,1,2025-03-03
unclecode / crawl4ai,https://github.com/unclecode/crawl4ai,🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper,1,2025-03-03
swisskyrepo / PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,A list of useful payloads and bypass for Web Application Security and Pentest/CTF,1,2025-03-03
salesforce / Merlion,https://github.com/salesforce/Merlion,Merlion: A Machine Learning Framework for Time Series Intelligence,1,2025-03-03
Mikubill / sd-webui-controlnet,https://github.com/Mikubill/sd-webui-controlnet,WebUI extension for ControlNet,1,2025-03-03
ocrmypdf / OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched",1,2025-03-03
zulip / zulip,https://github.com/zulip/zulip,Zulip server and web application. Open-source team chat that helps teams stay productive and focused.,1,2025-03-03
Soulter / AstrBot,https://github.com/Soulter/AstrBot,✨易上手的多平台 LLM 聊天机器人及开发框架✨。支持 QQ、QQ频道、Telegram、微信个人号(Gewechat)、企业微信、飞书、内置 Web Chat，OpenAI GPT、DeepSeek、Ollama、Llama、GLM、Gemini、硅基流动、月之暗面、OneAPI、LLMTuner，支持 LLM Agent 插件开发，可视化面板。一键部署。支持 Dify 工作流、代码执行器、Whisper 语音转文字。,1,2025-03-02
landing-ai / vision-agent,https://github.com/landing-ai/vision-agent,Vision agent,1,2025-03-02
freddyaboulton / fastrtc,https://github.com/freddyaboulton/fastrtc,The python library for real-time communication,1,2025-03-02
modelscope / DiffSynth-Studio,https://github.com/modelscope/DiffSynth-Studio,Enjoy the magic of Diffusion models!,1,2025-03-02
allenai / olmocr,https://github.com/allenai/olmocr,Toolkit for linearizing PDFs for LLM datasets/training,1,2025-03-02
commaai / openpilot,https://github.com/commaai/openpilot,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 275+ supported cars.",1,2025-03-02
ungoogled-software / ungoogled-chromium,https://github.com/ungoogled-software/ungoogled-chromium,"Google Chromium, sans integration with Google",1,2025-03-02
vanna-ai / vanna,https://github.com/vanna-ai/vanna,🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.,1,2025-03-02
onyx-dot-app / onyx,https://github.com/onyx-dot-app/onyx,Gen-AI Chat for Teams - Think ChatGPT if it had access to your team's unique knowledge.,1,2025-03-02
livekit / agents,https://github.com/livekit/agents,Build real-time multimodal AI applications 🤖🎙️📹,1,2025-03-02
LazoCoder / Pokemon-Terminal,https://github.com/LazoCoder/Pokemon-Terminal,Pokemon terminal themes.,1,2025-03-02
zyddnys / manga-image-translator,https://github.com/zyddnys/manga-image-translator,Translate manga/image 一键翻译各类图片内文字 https://cotrans.touhou.ai/,1,2025-03-02
allenai / olmocr,https://github.com/allenai/olmocr,Toolkit for linearizing PDFs for LLM datasets/training,1,2025-03-01
