Name,URL,Description,Language,Count,Last Date
StarRocks / starrocks,https://github.com/StarRocks/starrocks,"The world's fastest open query engine for sub-second analytics both on and off the data lakehouse. With the flexibility to support nearly any scenario, StarRocks provides best-in-class performance for multi-dimensional analytics, real-time analytics, and ad-hoc queries. A Linux Foundation project.",java,11,2025-03-05
tencentmusic / supersonic,https://github.com/tencentmusic/supersonic,SuperSonic is the next-generation AI+BI platform that unifies Chat BI (powered by LLM) and Headless BI (powered by semantic layer) paradigms.,java,13,2025-03-07
apache / rocketmq,https://github.com/apache/rocketmq,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications.",java,6,2025-03-01
thingsboard / thingsboard,https://github.com/thingsboard/thingsboard,"Open-source IoT Platform - Device management, data collection, processing and visualization.",java,6,2025-02-28
strimzi / strimzi-kafka-operator,https://github.com/strimzi/strimzi-kafka-operator,Apache Kafka® running on Kubernetes,java,5,2025-02-21
alibaba / nacos,https://github.com/alibaba/nacos,"an easy-to-use dynamic service discovery, configuration and service management platform for building cloud native applications.",java,11,2025-03-09
awsdocs / aws-doc-sdk-examples,https://github.com/awsdocs/aws-doc-sdk-examples,"Welcome to the AWS Code Examples Repository. This repo contains code examples used in the AWS documentation, AWS SDK Developer Guides, and more. For more information, see the Readme.md file below.",java,7,2025-02-21
quarkusio / quarkus,https://github.com/quarkusio/quarkus,Quarkus: Supersonic Subatomic Java.,java,10,2025-02-21
apache / shardingsphere,https://github.com/apache/shardingsphere,"Empowering Data Intelligence with Distributed SQL for Sharding, Scalability, and Security Across All Databases.",java,5,2025-02-21
apache / kafka,https://github.com/apache/kafka,Mirror of Apache Kafka,java,7,2025-02-21
wger-project / wger,https://github.com/wger-project/wger,"Self hosted FLOSS fitness/workout, nutrition and weight tracker",python,2,2025-02-16
python-poetry / poetry,https://github.com/python-poetry/poetry,Python packaging and dependency management made easy,python,5,2025-02-28
Azure / Azure-Sentinel,https://github.com/Azure/Azure-Sentinel,Cloud-native SIEM for intelligent security analytics for your entire enterprise.,python,4,2025-02-15
unclecode / crawl4ai,https://github.com/unclecode/crawl4ai,🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper,python,7,2025-03-03
cookiecutter / cookiecutter-django,https://github.com/cookiecutter/cookiecutter-django,Cookiecutter Django is a framework for jumpstarting production-ready Django projects quickly.,python,4,2025-02-16
dlt-hub / dlt,https://github.com/dlt-hub/dlt,data load tool (dlt) is an open source Python library that makes data loading easy 🛠️,python,1,2025-02-15
lancedb / lancedb,https://github.com/lancedb/lancedb,"Developer-friendly, serverless vector database for AI applications. Easily add long-term memory to your LLM apps!",python,1,2025-02-15
landing-ai / vision-agent,https://github.com/landing-ai/vision-agent,Vision agent,python,7,2025-03-04
FujiwaraChoki / MoneyPrinterV2,https://github.com/FujiwaraChoki/MoneyPrinterV2,Automate the process of making money online.,python,9,2025-02-20
wagtail / wagtail,https://github.com/wagtail/wagtail,A Django content management system focused on flexibility and user experience,python,2,2025-03-07
WebGoat / WebGoat,https://github.com/WebGoat/WebGoat,WebGoat is a deliberately insecure application,javascript,5,2025-03-02
rabbitmq / rabbitmq-server,https://github.com/rabbitmq/rabbitmq-server,Open source RabbitMQ: core server and tier 1 (built-in) plugins,javascript,11,2025-03-07
WordPress / gutenberg,https://github.com/WordPress/gutenberg,The Block Editor project for WordPress and beyond. Plugin is available from the official repository.,javascript,8,2025-03-02
TryGhost / Ghost,https://github.com/TryGhost/Ghost,"Independent technology for modern publishing, memberships, subscriptions and newsletters.",javascript,4,2025-03-07
michalsnik / aos,https://github.com/michalsnik/aos,Animate on scroll library,javascript,1,2025-02-15
sudheerj / javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,List of 1000 JavaScript Interview Questions,javascript,1,2025-02-15
academind / react-complete-guide-course-resources,https://github.com/academind/react-complete-guide-course-resources,"React - The Complete Guide Course Resources (Code, Attachments, Slides)",javascript,14,2025-03-04
golang / go,https://github.com/golang/go,The Go programming language,go,5,2025-02-28
go-playground / validator,https://github.com/go-playground/validator,"💯Go Struct and Field validation, including Cross Field, Cross Struct, Map, Slice and Array diving",go,12,2025-03-09
coder / coder,https://github.com/coder/coder,Provision remote development environments via Terraform,go,8,2025-03-09
grafana / tempo,https://github.com/grafana/tempo,"Grafana Tempo is a high volume, minimal dependency distributed tracing backend.",go,4,2025-02-16
nats-io / nats-server,https://github.com/nats-io/nats-server,"High-Performance server for NATS.io, the cloud and edge native messaging system.",go,9,2025-03-02
hashicorp / terraform-provider-aws,https://github.com/hashicorp/terraform-provider-aws,The AWS Provider enables Terraform to manage AWS resources.,go,8,2025-03-05
docker / compose,https://github.com/docker/compose,Define and run multi-container applications with Docker,go,6,2025-02-19
techschool / simplebank,https://github.com/techschool/simplebank,Backend master class: build a simple bank service in Go,go,6,2025-02-15
ethereum-optimism / optimism,https://github.com/ethereum-optimism/optimism,"Optimism is Ethereum, scaled.",go,7,2025-03-07
livekit / livekit,https://github.com/livekit/livekit,End-to-end stack for WebRTC. SFU media server and SDKs.,go,8,2025-02-27
opencontainers / runc,https://github.com/opencontainers/runc,CLI tool for spawning and running containers according to the OCI specification,go,4,2025-02-15
gitleaks / gitleaks,https://github.com/gitleaks/gitleaks,Find secrets with Gitleaks 🔑,go,9,2025-02-22
gin-gonic / gin,https://github.com/gin-gonic/gin,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",go,8,2025-03-05
prometheus / prometheus,https://github.com/prometheus/prometheus,The Prometheus monitoring system and time series database.,go,6,2025-02-20
gotenberg / gotenberg,https://github.com/gotenberg/gotenberg,"A developer-friendly API for converting numerous document formats into PDF files, and more!",go,2,2025-02-16
MartialBE / one-hub,https://github.com/MartialBE/one-hub,OpenAI 接口管理 & 分发系统，改自songquanpeng/one-api。支持更多模型，加入统计页面，完善非openai模型的函数调用。,go,2,2025-02-15
wagoodman / dive,https://github.com/wagoodman/dive,A tool for exploring each layer in a docker image,go,2,2025-02-15
shopspring / decimal,https://github.com/shopspring/decimal,Arbitrary-precision fixed-point decimal numbers in Go,go,1,2025-02-15
helm / helm,https://github.com/helm/helm,The Kubernetes Package Manager,go,5,2025-02-23
apache / streampark,https://github.com/apache/streampark,Make stream processing easier! Easy-to-use streaming application development framework and operation platform.,java,1,2025-02-15
camunda / camunda,https://github.com/camunda/camunda,Process Orchestration Framework,java,7,2025-03-02
netty / netty,https://github.com/netty/netty,Netty project - an event-driven asynchronous network application framework,java,11,2025-02-15
apache / paimon,https://github.com/apache/paimon,Apache Paimon is a lake format that enables building a Realtime Lakehouse Architecture with Flink and Spark for both streaming and batch operations.,java,5,2025-02-15
apache / flink-cdc,https://github.com/apache/flink-cdc,Flink CDC is a streaming data integration tool,java,7,2025-02-28
binarywang / WxJava,https://github.com/binarywang/WxJava,微信开发 Java SDK ，支持包括微信支付，开放平台，小程序，企业微信，视频号，公众号等的后端开发,java,7,2025-02-20
apache / hadoop,https://github.com/apache/hadoop,Apache Hadoop,java,8,2025-03-04
apache / jmeter,https://github.com/apache/jmeter,Apache JMeter open-source load testing tool for analyzing and measuring the performance of a variety of services,java,4,2025-03-01
apache / nifi,https://github.com/apache/nifi,Apache NiFi,java,8,2025-03-05
apache / camel,https://github.com/apache/camel,Apache Camel is an open source integration framework that empowers you to quickly and easily integrate various systems consuming or producing data.,java,7,2025-03-09
alibaba / DataX,https://github.com/alibaba/DataX,DataX是阿里云DataWorks数据集成的开源版本。,java,5,2025-02-28
TheAlgorithms / Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,python,1,2025-02-04
freqtrade / freqtrade,https://github.com/freqtrade/freqtrade,"Free, open source crypto trading bot",python,13,2025-03-08
HITsz-TMG / FilmAgent,https://github.com/HITsz-TMG/FilmAgent,"Resources of our paper ""FilmAgent: A Multi-Agent Framework for End-to-End Film Automation in Virtual 3D Spaces"". New versions in the making!",python,2,2025-02-04
vnpy / vnpy,https://github.com/vnpy/vnpy,基于Python的开源量化交易平台开发框架,python,2,2025-02-12
neuml / txtai,https://github.com/neuml/txtai,"💡 All-in-one open-source embeddings database for semantic search, LLM orchestration and language model workflows",python,2,2025-02-04
karpathy / ng-video-lecture,https://github.com/karpathy/ng-video-lecture,,python,1,2025-02-04
Blaizzy / mlx-vlm,https://github.com/Blaizzy/mlx-vlm,MLX-VLM is a package for inference and fine-tuning of Vision Language Models (VLMs) on your Mac using MLX.,python,1,2025-02-04
trekhleb / javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,javascript,13,2025-02-26
terrastruct / d2,https://github.com/terrastruct/d2,D2 is a modern diagram scripting language that turns text to diagrams.,javascript,1,2025-02-04
4ian / GDevelop,https://github.com/4ian/GDevelop,"🎮 Open-source, cross-platform 2D/3D/multiplayer game engine designed for everyone.",javascript,8,2025-03-09
advplyr / audiobookshelf,https://github.com/advplyr/audiobookshelf,Self-hosted audiobook and podcast server,javascript,1,2025-02-04
Maxsoll159 / proyectoSanValentin,https://github.com/Maxsoll159/proyectoSanValentin,,javascript,1,2025-02-04
kolbytn / mindcraft,https://github.com/kolbytn/mindcraft,,javascript,3,2025-03-04
DeepLifeStudio / DeepSeekAI,https://github.com/DeepLifeStudio/DeepSeekAI,Browser extension for invoking the DeepSeek AI large model.,javascript,2,2025-02-04
cli / cli,https://github.com/cli/cli,GitHub’s official command line tool,go,5,2025-03-03
starfederation / datastar,https://github.com/starfederation/datastar,The hypermedia framework.,go,1,2025-02-04
SagerNet / sing-box,https://github.com/SagerNet/sing-box,The universal proxy platform,go,12,2025-03-04
sundowndev / phoneinfoga,https://github.com/sundowndev/phoneinfoga,Information gathering framework for phone numbers,go,7,2025-02-17
sashabaranov / go-openai,https://github.com/sashabaranov/go-openai,"OpenAI ChatGPT, GPT-3, GPT-4, DALL·E, Whisper API wrapper for Go",go,2,2025-02-14
cloudreve / Cloudreve,https://github.com/cloudreve/Cloudreve,"🌩支持多家云存储的云盘系统 (Self-hosted file management and sharing system, supports multiple storage providers)",go,1,2025-02-04
gohugoio / hugo,https://github.com/gohugoio/hugo,The world’s fastest framework for building websites.,go,5,2025-02-23
LSPosed / LSPosed,https://github.com/LSPosed/LSPosed,LSPosed Framework,java,6,2025-02-24
LSPosed / LSPatch,https://github.com/LSPosed/LSPatch,LSPatch: A non-root Xposed framework extending from LSPosed,java,2,2025-02-18
bisq-network / bisq,https://github.com/bisq-network/bisq,A decentralized bitcoin exchange network,java,1,2025-02-04
power721 / alist-tvbox,https://github.com/power721/alist-tvbox,"AList proxy server for TvBox, support playlist and search.",java,2,2025-02-24
conductor-oss / conductor,https://github.com/conductor-oss/conductor,Conductor is an event driven orchestration platform,java,12,2025-03-04
Catfriend1 / syncthing-android,https://github.com/Catfriend1/syncthing-android,Syncthing-Fork - A Syncthing Wrapper for Android.,java,6,2025-02-17
Suwayomi / Suwayomi-Server,https://github.com/Suwayomi/Suwayomi-Server,A rewrite of Tachiyomi for the Desktop,java,2,2025-02-04
kunal-kushwaha / DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,"This repository consists of the code samples, assignments, and notes for the Java data structures & algorithms + interview preparation bootcamp of WeMakeDevs.",java,15,2025-03-03
bepass-org / oblivion,https://github.com/bepass-org/oblivion,Unofficial warp client for android,java,8,2025-03-03
LawnchairLauncher / lawnchair,https://github.com/LawnchairLauncher/lawnchair,No clever tagline needed.,java,7,2025-02-18
apache / zookeeper,https://github.com/apache/zookeeper,Apache ZooKeeper,java,2,2025-03-01
YunaiV / ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,🔥 官方推荐 🔥 RuoYi-Vue 全新 Pro 版本，优化重构所有功能。基于 Spring Boot + MyBatis Plus + Vue & Element 实现的后台管理系统 + 微信小程序，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！,java,10,2025-03-05
hummingbot / hummingbot,https://github.com/hummingbot/hummingbot,Open source software that helps you create and deploy high-frequency crypto trading bots,python,5,2025-02-20
xai-org / grok-1,https://github.com/xai-org/grok-1,Grok open release,python,1,2025-02-20
keephq / keep,https://github.com/keephq/keep,The open-source AIOps and alert management platform,python,3,2025-02-20
QuivrHQ / MegaParse,https://github.com/QuivrHQ/MegaParse,"File Parser optimised for LLM Ingestion with no loss 🧠 Parse PDFs, Docx, PPTx in a format that is ideal for LLMs.",python,2,2025-02-20
junyanz / pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,Image-to-Image Translation in PyTorch,python,1,2025-02-20
explodinggradients / ragas,https://github.com/explodinggradients/ragas,Supercharge Your LLM Application Evaluations 🚀,python,1,2025-02-20
getzep / graphiti,https://github.com/getzep/graphiti,"Build and query dynamic, temporally-aware Knowledge Graphs",python,2,2025-02-22
OpenSignLabs / OpenSign,https://github.com/OpenSignLabs/OpenSign,🔥 The free & Open Source DocuSign alternative,javascript,6,2025-02-27
facebook / create-react-app,https://github.com/facebook/create-react-app,Set up a modern web app by running one command.,javascript,3,2025-02-20
SuperSimpleDev / javascript-course,https://github.com/SuperSimpleDev/javascript-course,Watch the course: https://youtu.be/EerdGm-ehJQ,javascript,4,2025-03-09
openlayers / openlayers,https://github.com/openlayers/openlayers,OpenLayers,javascript,4,2025-02-20
xszyou / Fay,https://github.com/xszyou/Fay,"Fay is an open-source digital human framework integrating language models and digital characters. It offers retail, assistant, and agent versions for diverse applications like virtual shopping guides, broadcasters, assistants, waiters, teachers, and voice or text-based mobile assistants.",javascript,8,2025-03-09
lodash / lodash,https://github.com/lodash/lodash,"A modern JavaScript utility library delivering modularity, performance, & extras.",javascript,3,2025-02-28
poteto / hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards,⭐️ Companies that don't have a broken hiring process,javascript,5,2025-03-05
redis / go-redis,https://github.com/redis/go-redis,Redis Go client,go,4,2025-02-20
go-gorm / gorm,https://github.com/go-gorm/gorm,"The fantastic ORM library for Golang, aims to be developer friendly",go,3,2025-02-20
docker / cli,https://github.com/docker/cli,The Docker CLI,go,5,2025-03-07
gorilla / mux,https://github.com/gorilla/mux,Package gorilla/mux is a powerful HTTP router and URL matcher for building Go web servers with 🦍,go,4,2025-02-20
open-policy-agent / opa,https://github.com/open-policy-agent/opa,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",go,1,2025-02-20
milvus-io / milvus,https://github.com/milvus-io/milvus,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",go,10,2025-03-08
kubernetes / kubernetes,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management,go,10,2025-02-20
open-telemetry / opentelemetry-go,https://github.com/open-telemetry/opentelemetry-go,OpenTelemetry Go API and SDK,go,7,2025-02-26
flyteorg / flyte,https://github.com/flyteorg/flyte,"Scalable and flexible workflow orchestration platform that seamlessly unifies data, ML and analytics stacks.",go,1,2025-02-20
zitadel / zitadel,https://github.com/zitadel/zitadel,"ZITADEL - Identity infrastructure, simplified for you.",go,1,2025-02-20
stretchr / testify,https://github.com/stretchr/testify,A toolkit with common assertions and mocks that plays nicely with the standard library,go,10,2025-03-08
gorilla / websocket,https://github.com/gorilla/websocket,"Package gorilla/websocket is a fast, well-tested and widely used WebSocket implementation for Go.",go,4,2025-02-20
anchore / grype,https://github.com/anchore/grype,A vulnerability scanner for container images and filesystems,go,3,2025-02-20
flipped-aurora / gin-vue-admin,https://github.com/flipped-aurora/gin-vue-admin,🚀Vite+Vue3+Gin拥有AI辅助的基础开发平台，支持TS和JS混用。它集成了JWT鉴权、权限管理、动态路由、显隐可控组件、分页封装、多点登录拦截、资源权限、上传下载、代码生成器、表单生成器和可配置的导入导出等开发必备功能。,go,4,2025-02-20
jenkinsci / jenkins,https://github.com/jenkinsci/jenkins,Jenkins automation server,java,3,2025-02-20
flyway / flyway,https://github.com/flyway/flyway,Flyway by Redgate • Database Migrations Made Easy.,java,1,2025-02-20
Snailclimb / JavaGuide,https://github.com/Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,java,10,2025-03-05
dependency-check / DependencyCheck,https://github.com/dependency-check/DependencyCheck,OWASP dependency-check is a software composition analysis utility that detects publicly disclosed vulnerabilities in application dependencies.,java,2,2025-03-08
langchain4j / langchain4j-examples,https://github.com/langchain4j/langchain4j-examples,,java,7,2025-03-02
tronprotocol / java-tron,https://github.com/tronprotocol/java-tron,Java implementation of the Tron whitepaper,java,1,2025-02-20
YunaiV / yudao-cloud,https://github.com/YunaiV/yudao-cloud,ruoyi-vue-pro 全新 Cloud 版本，优化重构所有功能。基于 Spring Cloud Alibaba + MyBatis Plus + Vue & Element 实现的后台管理系统 + 用户小程序，支持 RBAC 动态权限、多租户、数据权限、工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！,java,2,2025-03-08
andrewyng / aisuite,https://github.com/andrewyng/aisuite,"Simple, unified interface to multiple Generative AI providers",python,3,2025-02-14
microsoft / RD-Agent,https://github.com/microsoft/RD-Agent,"Research and development (R&D) is crucial for the enhancement of industrial productivity, especially in the AI era, where the core aspects of R&D are mainly focused on data and models. We are committed to automating these high-value generic R&D processes through our open source R&D automation tool RD-Agent, which lets AI drive data-driven AI.",python,2,2025-02-14
modelscope / ms-swift,https://github.com/modelscope/ms-swift,"Use PEFT or Full-parameter to finetune 450+ LLMs (Qwen2.5, InternLM3, GLM4, Llama3.3, Mistral, Yi1.5, Baichuan2, DeepSeek-R1, ...) and 150+ MLLMs (Qwen2.5-VL, Qwen2-Audio, Llama3.2-Vision, Llava, InternVL2.5, MiniCPM-V-2.6, GLM4v, Xcomposer2.5, Yi-VL, DeepSeek-VL2, Phi3.5-Vision, GOT-OCR2, ...).",python,2,2025-02-14
fpgmaas / cookiecutter-uv,https://github.com/fpgmaas/cookiecutter-uv,A modern cookiecutter template for Python projects that use uv for dependency management,python,1,2025-02-14
PaddlePaddle / PaddleNLP,https://github.com/PaddlePaddle/PaddleNLP,"👑 Easy-to-use and powerful NLP and LLM library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification, 🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc.",python,1,2025-02-14
pyca / cryptography,https://github.com/pyca/cryptography,cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,python,2,2025-02-14
projectdiscovery / nuclei-templates,https://github.com/projectdiscovery/nuclei-templates,Community curated list of templates for the nuclei engine to find security vulnerabilities.,javascript,17,2025-03-09
schlagmichdoch / PairDrop,https://github.com/schlagmichdoch/PairDrop,"PairDrop: Transfer Files Cross-Platform. No Setup, No Signup.",javascript,2,2025-02-14
bigskysoftware / htmx,https://github.com/bigskysoftware/htmx,</> htmx - high power tools for HTML,javascript,4,2025-02-14
Kong / insomnia,https://github.com/Kong/insomnia,"The open-source, cross-platform API client for GraphQL, REST, WebSockets, SSE and gRPC. With Cloud, Local and Git storage.",javascript,6,2025-03-08
HumanSignal / label-studio,https://github.com/HumanSignal/label-studio,Label Studio is a multi-type data labeling and annotation tool with standardized output format,javascript,11,2025-03-09
i-am-shodan / USBArmyKnife,https://github.com/i-am-shodan/USBArmyKnife,USB Army Knife – the ultimate close access tool for penetration testers and red teamers.,javascript,5,2025-02-16
sveltejs / svelte,https://github.com/sveltejs/svelte,web development for the rest of us,javascript,10,2025-03-09
therealgliz / blooket-hacks,https://github.com/therealgliz/blooket-hacks,Multiple game hacks to use so the game become easier to play!,javascript,2,2025-03-01
koajs / koa,https://github.com/koajs/koa,Expressive middleware for node.js using ES2017 async functions,javascript,1,2025-02-14
axios / axios,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js,javascript,7,2025-02-27
go-kratos / kratos,https://github.com/go-kratos/kratos,Your ultimate Go microservices framework for the cloud-native era.,go,5,2025-03-02
securego / gosec,https://github.com/securego/gosec,Go security checker,go,1,2025-02-14
SpecterOps / BloodHound,https://github.com/SpecterOps/BloodHound,Six Degrees of Domain Admin,go,3,2025-02-14
kubernetes-sigs / kustomize,https://github.com/kubernetes-sigs/kustomize,Customization of kubernetes YAML configurations,go,3,2025-03-02
thanos-io / thanos,https://github.com/thanos-io/thanos,Highly available Prometheus setup with long term storage capabilities. A CNCF Incubating project.,go,4,2025-02-28
EndlessCheng / codeforces-go,https://github.com/EndlessCheng/codeforces-go,算法竞赛模板库 by 灵茶山艾府 💭💡🎈,go,4,2025-03-03
gravitational / teleport,https://github.com/gravitational/teleport,"The easiest, and most secure way to access and protect all of your infrastructure.",go,2,2025-02-14
jaegertracing / jaeger,https://github.com/jaegertracing/jaeger,"CNCF Jaeger, a Distributed Tracing Platform",go,4,2025-03-08
wailsapp / wails,https://github.com/wailsapp/wails,Create beautiful applications using Go,go,5,2025-02-19
rs / zerolog,https://github.com/rs/zerolog,Zero Allocation JSON Logger,go,3,2025-02-14
kubernetes / dashboard,https://github.com/kubernetes/dashboard,General-purpose web UI for Kubernetes clusters,go,4,2025-03-07
CodePhiliaX / Chat2DB,https://github.com/CodePhiliaX/Chat2DB,"🔥🔥🔥AI-driven database tool and SQL client, The hottest GUI client, supporting MySQL, Oracle, PostgreSQL, DB2, SQL Server, DB2, SQLite, H2, ClickHouse, and more.",java,10,2025-03-07
google / guava,https://github.com/google/guava,Google core libraries for Java,java,8,2025-03-02
junit-team / junit5,https://github.com/junit-team/junit5,✅ The 5th major version of the programmer-friendly testing framework for Java and the JVM,java,3,2025-02-14
apache / iceberg,https://github.com/apache/iceberg,Apache Iceberg,java,11,2025-03-09
alibaba / spring-ai-alibaba,https://github.com/alibaba/spring-ai-alibaba,An Application Framework for Java Developers,java,9,2025-03-01
jeremylong / DependencyCheck,https://github.com/jeremylong/DependencyCheck,OWASP dependency-check is a software composition analysis utility that detects publicly disclosed vulnerabilities in application dependencies.,java,7,2025-02-16
keycloak / keycloak,https://github.com/keycloak/keycloak,Open Source Identity and Access Management For Modern Applications and Services,java,19,2025-03-09
GoogleContainerTools / jib,https://github.com/GoogleContainerTools/jib,🏗 Build container images for your Java applications.,java,3,2025-03-08
doocs / advanced-java,https://github.com/doocs/advanced-java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,java,8,2025-03-02
alibaba / Sentinel,https://github.com/alibaba/Sentinel,"A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)",java,6,2025-02-16
RockChinQ / LangBot,https://github.com/RockChinQ/LangBot,"😎丰富生态、🧩支持扩展、🦄多模态 - 大模型原生即时通信机器人平台 🤖 | 适配 QQ / 微信（企业微信、个人微信）/ 飞书（feishu）/ Discord / OneBot 等消息平台 | 支持 OpenAI GPT、ChatGPT、DeepSeek、Dify、Claude、Gemini、Ollama、LM Studio、SiliconFlow、Qwen、Moonshot、ChatGLM 等 LLM 的机器人 / Agent | LLM-based instant messaging bots platform, supports Discord, WeChat, Lark, QQ platform, OpenAI ChatGPT, DeepSeek.",python,4,2025-02-12
microsoft / PromptWizard,https://github.com/microsoft/PromptWizard,Task-Aware Agent-driven Prompt Optimization Framework,python,3,2025-02-10
sgl-project / sglang,https://github.com/sgl-project/sglang,SGLang is a fast serving framework for large language models and vision language models.,python,8,2025-03-08
commaai / openpilot,https://github.com/commaai/openpilot,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 275+ supported cars.",python,11,2025-03-02
huggingface / trl,https://github.com/huggingface/trl,Train transformer language models with reinforcement learning.,python,3,2025-02-10
NanmiCoder / MediaCrawler,https://github.com/NanmiCoder/MediaCrawler,小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫 | 知乎问答文章｜评论爬虫,python,2,2025-02-10
pydantic / pydantic-ai,https://github.com/pydantic/pydantic-ai,Agent Framework / shim to use Pydantic with LLMs,python,1,2025-02-10
searxng / searxng,https://github.com/searxng/searxng,SearXNG is a free internet metasearch engine which aggregates results from various search services and databases. Users are neither tracked nor profiled.,python,1,2025-02-10
MHSanaei / 3x-ui,https://github.com/MHSanaei/3x-ui,Xray panel supporting multi-protocol multi-user expire day & traffic & IP limit (Vmess & Vless & Trojan & ShadowSocks & Wireguard),javascript,5,2025-03-02
vernesong / OpenClash,https://github.com/vernesong/OpenClash,A Clash Client For OpenWrt,javascript,6,2025-03-09
brave / brave-browser,https://github.com/brave/brave-browser,"Brave browser for Android, iOS, Linux, macOS, Windows.",javascript,8,2025-03-04
vaxilu / x-ui,https://github.com/vaxilu/x-ui,支持多协议多用户的 xray 面板,javascript,1,2025-02-10
wanglin2 / mind-map,https://github.com/wanglin2/mind-map,一个还算强大的Web思维导图。A relatively powerful web mind map.,javascript,7,2025-02-27
websockets / ws,https://github.com/websockets/ws,"Simple to use, blazing fast and thoroughly tested WebSocket client and server for Node.js",javascript,1,2025-02-10
fatwang2 / search2ai,https://github.com/fatwang2/search2ai,Help your LLMs online,javascript,1,2025-02-10
trustwallet / assets,https://github.com/trustwallet/assets,"A comprehensive, up-to-date collection of information about several thousands (!) of crypto tokens.",go,5,2025-02-10
envoyproxy / gateway,https://github.com/envoyproxy/gateway,Manages Envoy Proxy as a Standalone or Kubernetes-based Application Gateway,go,3,2025-03-05
zeromicro / go-zero,https://github.com/zeromicro/go-zero,A cloud-native Go microservices framework with cli tool for productivity.,go,8,2025-03-07
volcano-sh / volcano,https://github.com/volcano-sh/volcano,A Cloud Native Batch System (Project under CNCF),go,5,2025-02-23
v2rayA / v2rayA,https://github.com/v2rayA/v2rayA,"A web GUI client of Project V which supports VMess, VLESS, SS, SSR, Trojan, Tuic and Juicity protocols. 🚀",go,3,2025-02-24
fastenhealth / fasten-onprem,https://github.com/fastenhealth/fasten-onprem,"Fasten is an open-source, self-hosted, personal/family electronic medical record aggregator, designed to integrate with 100,000's of insurances/hospitals/clinics",go,2,2025-02-10
casdoor / casdoor,https://github.com/casdoor/casdoor,"An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting OAuth 2.0, OIDC, SAML, CAS, LDAP, SCIM, WebAuthn, TOTP, MFA, Face ID, RADIUS, Google Workspace, Active Directory and Kerberos",go,2,2025-02-10
apache / dolphinscheduler,https://github.com/apache/dolphinscheduler,Apache DolphinScheduler is the modern data orchestration platform. Agile to create high performance workflow with low-code,java,6,2025-03-09
dataease / dataease,https://github.com/dataease/dataease,🔥 人人可用的开源 BI 工具，Tableau、帆软的开源替代。,java,13,2025-03-09
xuxueli / xxl-job,https://github.com/xuxueli/xxl-job,A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）,java,7,2025-02-13
apache / seatunnel,https://github.com/apache/seatunnel,"SeaTunnel is a next-generation super high-performance, distributed, massive data integration tool.",java,6,2025-02-13
apache / incubator-seata,https://github.com/apache/incubator-seata,"🔥 Seata is an easy-to-use, high-performance, open source distributed transaction solution.",java,2,2025-02-10
blacklanternsecurity / bbot,https://github.com/blacklanternsecurity/bbot,The recursive internet scanner for hackers. 🧡,python,4,2025-02-24
opendatalab / MinerU,https://github.com/opendatalab/MinerU,A high-quality tool for convert PDF to Markdown and JSON.一站式开源高质量数据提取工具，将PDF转换成Markdown和JSON格式。,python,5,2025-03-05
