Name,URL,Description,Language,Count,Last Date
kgretzky / evilginx2,https://github.com/kgretzky/evilginx2,"Standalone man-in-the-middle attack framework used for phishing login credentials along with session cookies, allowing for the bypass of 2-factor authentication",go,6,2025-02-16
grafana / loki,https://github.com/grafana/loki,"Like Prometheus, but for logs.",go,13,2025-03-08
aquasecurity / trivy,https://github.com/aquasecurity/trivy,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",go,18,2025-03-07
oauth2-proxy / oauth2-proxy,https://github.com/oauth2-proxy/oauth2-proxy,"A reverse proxy that provides authentication with Google, Azure, OpenID Connect and many more identity providers.",go,4,2025-02-27
cert-manager / cert-manager,https://github.com/cert-manager/cert-manager,Automatically provision and manage TLS certificates in Kubernetes,go,8,2025-03-08
abiosoft / colima,https://github.com/abiosoft/colima,Container runtimes on macOS (and Linux) with minimal setup,go,4,2025-02-01
fluxcd / flux2,https://github.com/fluxcd/flux2,Open and extensible continuous delivery solution for Kubernetes. Powered by GitOps Toolkit.,go,3,2025-02-23
distribution / distribution,https://github.com/distribution/distribution,"The toolkit to pack, ship, store, and deliver container content",go,3,2025-02-01
ray-project / kuberay,https://github.com/ray-project/kuberay,A toolkit to run Ray applications on Kubernetes,go,3,2025-02-12
jesseduffield / lazydocker,https://github.com/jesseduffield/lazydocker,The lazier way to manage everything docker,go,13,2025-03-03
projectdiscovery / nuclei,https://github.com/projectdiscovery/nuclei,"Nuclei is a fast, customizable vulnerability scanner powered by the global security community and built on a simple YAML-based DSL, enabling collaboration to tackle trending vulnerabilities on the internet. It helps you find vulnerabilities in your applications, APIs, networks, DNS, and cloud configurations.",go,10,2025-02-26
go-gitea / gitea,https://github.com/go-gitea/gitea,"Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD",go,7,2025-03-05
crossplane / crossplane,https://github.com/crossplane/crossplane,The Cloud Native Control Plane,go,4,2025-02-28
ethereum / go-ethereum,https://github.com/ethereum/go-ethereum,Go implementation of the Ethereum protocol,go,6,2025-02-28
open-telemetry / opentelemetry-go-contrib,https://github.com/open-telemetry/opentelemetry-go-contrib,Collection of extensions for OpenTelemetry-Go.,go,3,2025-02-01
meshery / meshery,https://github.com/meshery/meshery,"Meshery, the cloud native manager",go,11,2025-03-05
kyverno / kyverno,https://github.com/kyverno/kyverno,Cloud Native Policy Management,go,5,2025-03-02
bnb-chain / bsc,https://github.com/bnb-chain/bsc,A BNB Smart Chain client based on the go-ethereum fork,go,4,2025-02-01
stonith404 / pocket-id,https://github.com/stonith404/pocket-id,A simple and easy-to-use OIDC provider that allows users to authenticate with their passkeys to your services.,go,3,2025-02-01
Stirling-Tools / Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,#1 Locally hosted web application that allows you to perform various operations on PDF files,java,14,2025-03-05
elastic / elasticsearch,https://github.com/elastic/elasticsearch,"Free and Open Source, Distributed, RESTful Search Engine",java,19,2025-03-08
PojavLauncherTeam / PojavLauncher,https://github.com/PojavLauncherTeam/PojavLauncher,A Minecraft: Java Edition Launcher for Android and iOS based on Boardwalk. This repository contains source code for Android platform.,java,12,2025-03-04
SeleniumHQ / selenium,https://github.com/SeleniumHQ/selenium,A browser automation framework and ecosystem.,java,11,2025-03-09
spring-projects / spring-ai,https://github.com/spring-projects/spring-ai,An Application Framework for AI Engineering,java,16,2025-03-05
dbeaver / dbeaver,https://github.com/dbeaver/dbeaver,Free universal database tool and SQL client,java,10,2025-03-05
hkhcoder / vprofile-project,https://github.com/hkhcoder/vprofile-project,,java,17,2025-03-05
apache / flink,https://github.com/apache/flink,Apache Flink,java,12,2025-03-08
google / gson,https://github.com/google/gson,A Java serialization/deserialization library to convert Java Objects into JSON and back,java,3,2025-02-20
00-Evan / shattered-pixel-dungeon,https://github.com/00-Evan/shattered-pixel-dungeon,"Shattered Pixel Dungeon is an open-source traditional roguelike dungeon crawler with randomized levels and enemies, and hundreds of items to collect and use. It's based on the source code of Pixel Dungeon, by Watabou.",java,5,2025-02-27
microsoft / typespec,https://github.com/microsoft/typespec,,java,10,2025-03-09
langchain4j / langchain4j,https://github.com/langchain4j/langchain4j,Java version of LangChain,java,19,2025-03-01
DependencyTrack / dependency-track,https://github.com/DependencyTrack/dependency-track,Dependency-Track is an intelligent Component Analysis platform that allows organizations to identify and reduce risk in the software supply chain.,java,9,2025-03-09
apache / polaris,https://github.com/apache/polaris,"Apache Polaris, the interoperable, open source catalog for Apache Iceberg",java,5,2025-03-04
apache / cassandra,https://github.com/apache/cassandra,Apache Cassandra®,java,14,2025-03-08
wiremock / wiremock,https://github.com/wiremock/wiremock,A tool for mocking HTTP services,java,2,2025-02-19
termux / termux-app,https://github.com/termux/termux-app,Termux - a terminal emulator application for Android OS extendible by variety of packages.,java,14,2025-03-04
spring-projects / spring-security,https://github.com/spring-projects/spring-security,Spring Security,java,10,2025-03-09
OpenFeign / feign,https://github.com/OpenFeign/feign,Feign makes writing java http clients easier,java,2,2025-02-01
spring-projects / spring-framework,https://github.com/spring-projects/spring-framework,Spring Framework,java,20,2025-03-02
redis / jedis,https://github.com/redis/jedis,Redis Java client,java,1,2025-02-01
openrewrite / rewrite,https://github.com/openrewrite/rewrite,Automated mass refactoring of source code.,java,2,2025-02-14
openjdk / jdk,https://github.com/openjdk/jdk,JDK main-line development https://openjdk.org/projects/jdk,java,18,2025-02-27
kestra-io / kestra,https://github.com/kestra-io/kestra,"⚡ Workflow Automation Platform. Orchestrate & Schedule code in any language, run anywhere, 500+ plugins. Alternative to Zapier, Rundeck, Camunda, Airflow...",java,18,2025-03-03
AUTOMATIC1111 / stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,python,7,2025-02-25
infiniflow / ragflow,https://github.com/infiniflow/ragflow,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,python,11,2025-02-13
albertan017 / LLM4Decompile,https://github.com/albertan017/LLM4Decompile,Reverse Engineering: Decompiling Binary Code with Large Language Models,python,3,2025-02-13
potpie-ai / potpie,https://github.com/potpie-ai/potpie,Prompt-To-Agent : Create custom engineering agents for your codebase,python,5,2025-02-14
browser-use / browser-use,https://github.com/browser-use/browser-use,Make websites accessible for AI agents,python,10,2025-03-09
jingyaogong / minimind,https://github.com/jingyaogong/minimind,🚀🚀 「大模型」2小时完全从0训练26M的小参数GPT！🌏 Train a 26M-parameter GPT from scratch in just 2h!,python,19,2025-02-25
SciPhi-AI / R2R,https://github.com/SciPhi-AI/R2R,The most advanced AI retrieval system. Agentic Retrieval-Augmented Generation (RAG) with a RESTful API.,python,2,2025-02-12
lllyasviel / stable-diffusion-webui-forge,https://github.com/lllyasviel/stable-diffusion-webui-forge,,python,1,2025-02-11
JoeanAmier / XHS-Downloader,https://github.com/JoeanAmier/XHS-Downloader,小红书（XiaoHongShu、RedNote）链接提取/作品采集工具：提取账号发布、收藏、点赞、专辑作品链接；提取搜索结果作品、用户链接；采集小红书作品信息；提取小红书作品下载地址；下载小红书无水印作品文件,python,1,2025-02-11
home-assistant / core,https://github.com/home-assistant/core,🏡 Open source home automation that puts local control and privacy first.,python,5,2025-02-11
lllyasviel / Fooocus,https://github.com/lllyasviel/Fooocus,Focus on prompting and generating,python,4,2025-02-25
homarr-labs / dashboard-icons,https://github.com/homarr-labs/dashboard-icons,The best source for dashboard icons.,python,1,2025-02-11
ltdrdata / ComfyUI-Manager,https://github.com/ltdrdata/ComfyUI-Manager,"ComfyUI-Manager is an extension designed to enhance the usability of ComfyUI. It offers management functions to install, remove, disable, and enable various custom nodes of ComfyUI. Furthermore, this extension provides a hub feature and convenience functions to access a wide range of information within ComfyUI.",python,4,2025-03-04
SWivid / F5-TTS,https://github.com/SWivid/F5-TTS,"Official code for ""F5-TTS: A Fairytaler that Fakes Fluent and Faithful Speech with Flow Matching""",python,1,2025-02-11
JoeanAmier / TikTokDownloader,https://github.com/JoeanAmier/TikTokDownloader,TikTok 发布/喜欢/合辑/直播/视频/图集/音乐；抖音发布/喜欢/收藏/收藏夹/视频/图集/实况/直播/音乐/合集/评论/账号/搜索/热榜数据采集工具,python,1,2025-02-11
HabitRPG / habitica,https://github.com/HabitRPG/habitica,A habit tracker app which treats your goals like a Role Playing Game.,javascript,2,2025-02-11
wg-easy / wg-easy,https://github.com/wg-easy/wg-easy,The easiest way to run WireGuard VPN + Web-based Admin UI.,javascript,6,2025-02-11
cmliu / WorkerVless2sub,https://github.com/cmliu/WorkerVless2sub,自动化批量替换生成优选线路 VMess / VLESS / Trojan 节点的 优选订阅生成器,javascript,4,2025-02-24
NaiboWang / EasySpider,https://github.com/NaiboWang/EasySpider,A visual no-code/code-free web crawler/spider易采集：一个可视化浏览器自动化测试/数据采集/爬虫软件，可以无代码图形化的设计和执行爬虫任务。别名：ServiceWrapper面向Web应用的智能化服务封装系统。,javascript,5,2025-02-22
FortAwesome / Font-Awesome,https://github.com/FortAwesome/Font-Awesome,"The iconic SVG, font, and CSS toolkit",javascript,12,2025-03-07
openwrt / luci,https://github.com/openwrt/luci,LuCI - OpenWrt Configuration Interface,javascript,6,2025-03-03
SillyTavern / SillyTavern,https://github.com/SillyTavern/SillyTavern,LLM Frontend for Power Users.,javascript,13,2025-03-03
bia-pain-bache / BPB-Worker-Panel,https://github.com/bia-pain-bache/BPB-Worker-Panel,"A GUI Panel providing Worker subscriptions for VLESS, Trojan and Warp configs alongside chain proxies, offering full DNS, clean IP, Fragment, Warp, Warp pro and routing settings for cross-platform clients using Sing-box, Clash/Mihomo and Xray cores.",javascript,11,2025-03-05
ftde0 / yt2009,https://github.com/ftde0/yt2009,2009 youtube frontend.,javascript,1,2025-02-11
