Name,URL,Description,Count,Last Date
ToolJet / ToolJet,https://github.com/ToolJet/ToolJet,"Low-code platform for building business applications. Connect to databases, cloud storages, GraphQL, API endpoints, Airtable, Google sheets, OpenAI, etc and build apps using drag and drop application builder. Built using JavaScript/TypeScript. 🚀",1,2025-03-07
SuperSimpleDev / javascript-course,https://github.com/SuperSimpleDev/javascript-course,Watch the course: https://youtu.be/EerdGm-ehJQ,1,2025-03-07
microsoft / monaco-editor,https://github.com/microsoft/monaco-editor,A browser based code editor,1,2025-03-07
CesiumGS / cesium,https://github.com/CesiumGS/cesium,An open-source JavaScript library for world-class 3D globes and maps 🌎,1,2025-03-07
projectdiscovery / nuclei-templates,https://github.com/projectdiscovery/nuclei-templates,Community curated list of templates for the nuclei engine to find security vulnerabilities.,1,2025-03-07
ckeditor / ckeditor5,https://github.com/ckeditor/ckeditor5,"Powerful rich text editor framework with a modular architecture, modern integrations, and features like collaborative editing.",1,2025-03-07
hagopj13 / node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,"A boilerplate for building production-ready RESTful APIs using Node.js, Express, and Mongoose",1,2025-03-07
microsoft / generative-ai-with-javascript,https://github.com/microsoft/generative-ai-with-javascript,Join a time-traveling adventure where you meet history’s legends while learning Generative AI technologies! ✨,1,2025-03-07
Kong / insomnia,https://github.com/Kong/insomnia,"The open-source, cross-platform API client for GraphQL, REST, WebSockets, SSE and gRPC. With Cloud, Local and Git storage.",1,2025-03-07
rabbitmq / rabbitmq-server,https://github.com/rabbitmq/rabbitmq-server,Open source RabbitMQ: core server and tier 1 (built-in) plugins,1,2025-03-07
Automattic / mongoose,https://github.com/Automattic/mongoose,MongoDB object modeling designed to work in an asynchronous environment.,1,2025-03-07
handsontable / handsontable,https://github.com/handsontable/handsontable,"JavaScript Data Grid / Data Table with a Spreadsheet Look & Feel. Works with React, Angular, and Vue. Supported by the Handsontable team ⚡",1,2025-03-07
jaywcjlove / awesome-mac,https://github.com/jaywcjlove/awesome-mac," Now we have become very big, Different from the original idea. Collect premium software in various categories.",1,2025-03-05
twbs / bootstrap,https://github.com/twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",1,2025-03-05
gorhill / uBlock,https://github.com/gorhill/uBlock,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,1,2025-03-05
poteto / hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards,⭐️ Companies that don't have a broken hiring process,1,2025-03-05
HumanSignal / label-studio,https://github.com/HumanSignal/label-studio,Label Studio is a multi-type data labeling and annotation tool with standardized output format,1,2025-03-05
ethereumbook / ethereumbook,https://github.com/ethereumbook/ethereumbook,"Mastering Ethereum, by Andreas M. Antonopoulos, Gavin Wood",1,2025-03-05
handsontable / handsontable,https://github.com/handsontable/handsontable,"JavaScript Data Grid / Data Table with a Spreadsheet Look & Feel. Works with React, Angular, and Vue. Supported by the Handsontable team ⚡",1,2025-03-05
6dylan6 / jdpro,https://github.com/6dylan6/jdpro,,1,2025-03-05
bia-pain-bache / BPB-Worker-Panel,https://github.com/bia-pain-bache/BPB-Worker-Panel,"A GUI Panel providing Worker subscriptions for VLESS, Trojan and Warp configs alongside chain proxies, offering full DNS, clean IP, Fragment, Warp, Warp pro and routing settings for cross-platform clients using Sing-box, Clash/Mihomo and Xray cores.",1,2025-03-05
