Name,URL,Description,Count,Last Date
4ian / GDevelop,https://github.com/4ian/GDevelop,"🎮 Open-source, cross-platform 2D/3D/multiplayer game engine designed for everyone.",1,2024-12-31
Koenkk / zigbee2mqtt,https://github.com/Koenkk/zigbee2mqtt,"Zigbee 🐝 to MQTT bridge 🌉, get rid of your proprietary Zigbee bridges 🔨",1,2024-12-31
nodejs / node,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,1,2024-12-31
PavelDoGreat / WebGL-Fluid-Simulation,https://github.com/PavelDoGreat/WebGL-Fluid-Simulation,Play with fluids in your browser (works even on mobile),1,2024-12-31
vercel / next.js,https://github.com/vercel/next.js,The React Framework,1,2024-12-31
NARKOZ / hacker-scripts,https://github.com/NARKOZ/hacker-scripts,Based on a true story,1,2024-12-31
NginxProxyManager / nginx-proxy-manager,https://github.com/NginxProxyManager/nginx-proxy-manager,"Docker container for managing Nginx proxy hosts with a simple, powerful interface",1,2024-12-31
notwaldorf / emoji-translate,https://github.com/notwaldorf/emoji-translate,📚 Translate text to ✨emoji ✨!,1,2024-12-31
denysdovhan / wtfjs,https://github.com/denysdovhan/wtfjs,🤪 A list of funny and tricky JavaScript examples,1,2024-12-31
badges / shields,https://github.com/badges/shields,"Concise, consistent, and legible badges in SVG and raster format",1,2024-12-31
adrianhajdin / aora,https://github.com/adrianhajdin/aora,Build your first mobile application,1,2024-12-31
sveltejs / svelte,https://github.com/sveltejs/svelte,web development for the rest of us,1,2024-12-31
koodo-reader / koodo-reader,https://github.com/koodo-reader/koodo-reader,"A modern ebook manager and reader with sync and backup capacities for Windows, macOS, Linux and Web",1,2024-12-31
fabricjs / fabric.js,https://github.com/fabricjs/fabric.js,"Javascript Canvas Library, SVG-to-Canvas (& canvas-to-SVG) Parser",1,2024-12-31
MHSanaei / 3x-ui,https://github.com/MHSanaei/3x-ui,Xray panel supporting multi-protocol multi-user expire day & traffic & ip limit (Vmess & Vless & Trojan & ShadowSocks & Wireguard),1,2024-12-31
tangly1024 / NotionNext,https://github.com/tangly1024/NotionNext,"使用 NextJS + Notion API 实现的，支持多种部署方案的静态博客，无需服务器、零门槛搭建网站，为Notion和所有创作者设计。 (A static blog built with NextJS and Notion API, supporting multiple deployment options. No server required, zero threshold to set up a website. Designed for Notion and all creators.)",1,2024-12-31
netptop / siteproxy,https://github.com/netptop/siteproxy,"reverse proxy, online proxy, 反向代理,免翻墙访问Youtube/twitter/Google, 支持github和telegram web登录(请注意不要通过不信任的代理进行登录)。支持DuckDuckGo AI Chat(可免费访问chatGPT3.5和Claude3)",1,2024-12-31
jellyfin / jellyfin-web,https://github.com/jellyfin/jellyfin-web,The Free Software Media System - Official Web Client,1,2024-12-31
anuraghazra / github-readme-stats,https://github.com/anuraghazra/github-readme-stats,⚡ Dynamically generated stats for your github readmes,1,2024-12-31
is-a-dev / register,https://github.com/is-a-dev/register,Grab your own sweet-looking '.is-a.dev' subdomain.,1,2024-12-31
bluewave-labs / checkmate,https://github.com/bluewave-labs/checkmate,"Checkmate is an open-source, self-hosted tool designed to track and monitor server hardware, uptime, response times, and incidents in real-time with beautiful visualizations.",1,2024-12-31
denysdovhan / wtfjs,https://github.com/denysdovhan/wtfjs,🤪 A list of funny and tricky JavaScript examples,1,2024-12-30
maboloshi / github-chinese,https://github.com/maboloshi/github-chinese,GitHub 汉化插件，GitHub 中文化界面。 (GitHub Translation To Chinese),1,2024-12-30
