Name,URL,Description,Count,Last Date
danielmiessler / fabric,https://github.com/danielmiessler/fabric,fabric is an open-source framework for augmenting humans using AI. It provides a modular framework for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.,1,2024-12-31
a-h / templ,https://github.com/a-h/templ,A language for writing HTML user interfaces in Go.,1,2024-12-31
kubernetes / minikube,https://github.com/kubernetes/minikube,Run Kubernetes locally,1,2024-12-31
amitshekhariitbhu / go-backend-clean-architecture,https://github.com/amitshekhariitbhu/go-backend-clean-architecture,"A Go (Golang) Backend Clean Architecture project with Gin, MongoDB, JWT Authentication Middleware, Test, and Docker.",1,2024-12-31
evcc-io / evcc,https://github.com/evcc-io/evcc,Solar Charging ☀️🚘,1,2024-12-31
photoprism / photoprism,https://github.com/photoprism/photoprism,AI-Powered Photos App for the Decentralized Web 🌈💎✨,1,2024-12-31
rclone / rclone,https://github.com/rclone/rclone,"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Azure Blob, Azure Files, Yandex Files",1,2024-12-31
EndlessCheng / codeforces-go,https://github.com/EndlessCheng/codeforces-go,算法竞赛模板库 by 灵茶山艾府 💭💡🎈,1,2024-12-31
XTLS / Xray-core,https://github.com/XTLS/Xray-core,"Xray, Penetrates Everything. Also the best v2ray-core, with XTLS support. Fully compatible configuration.",1,2024-12-31
tailscale / tailscale,https://github.com/tailscale/tailscale,"The easiest, most secure way to use WireGuard and 2FA.",1,2024-12-31
FiloSottile / age,https://github.com/FiloSottile/age,"A simple, modern and secure encryption tool (and Go library) with small explicit keys, no config options, and UNIX-style composability.",1,2024-12-31
quii / learn-go-with-tests,https://github.com/quii/learn-go-with-tests,Learn Go with test-driven development,1,2024-12-31
jesseduffield / lazygit,https://github.com/jesseduffield/lazygit,simple terminal UI for git commands,1,2024-12-31
projectdiscovery / katana,https://github.com/projectdiscovery/katana,A next-generation crawling and spidering framework.,1,2024-12-31
cloudflare / cloudflared,https://github.com/cloudflare/cloudflared,Cloudflare Tunnel client (formerly Argo Tunnel),1,2024-12-31
syncthing / syncthing,https://github.com/syncthing/syncthing,Open Source Continuous File Synchronization,1,2024-12-31
SagerNet / sing-box,https://github.com/SagerNet/sing-box,The universal proxy platform,1,2024-12-31
juanfont / headscale,https://github.com/juanfont/headscale,"An open source, self-hosted implementation of the Tailscale control server",1,2024-12-31
1Panel-dev / 1Panel,https://github.com/1Panel-dev/1Panel,"🔥 Top-Rated Web-Based Linux Server Management Tool. 1Panel features an intuitive web interface that seamlessly integrates server management and monitoring, container management, database administration, website management, system backup and restoration, and more.",1,2024-12-31
ollama / ollama,https://github.com/ollama/ollama,"Get up and running with Llama 3.3, Mistral, Gemma 2, and other large language models.",1,2024-12-31
v2fly / v2ray-core,https://github.com/v2fly/v2ray-core,A platform for building proxies to bypass network restrictions.,1,2024-12-31
danielmiessler / fabric,https://github.com/danielmiessler/fabric,fabric is an open-source framework for augmenting humans using AI. It provides a modular framework for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.,1,2024-12-30
SagerNet / sing-box,https://github.com/SagerNet/sing-box,The universal proxy platform,1,2024-12-30
a-h / templ,https://github.com/a-h/templ,A language for writing HTML user interfaces in Go.,1,2024-12-30
cadence-workflow / cadence,https://github.com/cadence-workflow/cadence,"Cadence is a distributed, scalable, durable, and highly available orchestration engine to execute asynchronous long-running business logic in a scalable and resilient way.",1,2024-12-30
FiloSottile / age,https://github.com/FiloSottile/age,"A simple, modern and secure encryption tool (and Go library) with small explicit keys, no config options, and UNIX-style composability.",1,2024-12-30
GoogleCloudPlatform / microservices-demo,https://github.com/GoogleCloudPlatform/microservices-demo,"Sample cloud-first application with 10 microservices showcasing Kubernetes, Istio, and gRPC.",1,2024-12-30
projectdiscovery / katana,https://github.com/projectdiscovery/katana,A next-generation crawling and spidering framework.,1,2024-12-30
weaviate / weaviate,https://github.com/weaviate/weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database .",1,2024-12-30
prysmaticlabs / prysm,https://github.com/prysmaticlabs/prysm,Go implementation of Ethereum proof of stake,1,2024-12-30
encoredev / encore,https://github.com/encoredev/encore,Open Source Development Platform for building robust type-safe distributed systems with declarative infrastructure,1,2024-12-30
