Name,URL,Description,Count,Last Date
cehui0303 / Tmall_Tickets,https://github.com/cehui0303/Tmall_Tickets,天猫超市茅台抢票功能,1,2020-12-31
qeeqbox / social-analyzer,https://github.com/qeeqbox/social-analyzer,API and Web App for analyzing & finding a person profile across 300+ social media websites (Detections are updated regularly),1,2020-12-31
AMAI-GmbH / AI-Expert-Roadmap,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,Roadmap to becoming an Artificial Intelligence Expert in 2020,1,2020-12-31
ziye12 / JavaScript,https://github.com/ziye12/JavaScript,本人quantumult x，优先适配quantumult x， surge loon应该也能用,1,2020-12-31
GoogleChrome / lighthouse,https://github.com/GoogleChrome/lighthouse,"Automated auditing, performance metrics, and best practices for the web.",1,2020-12-31
laurent22 / joplin,https://github.com/laurent22/joplin,"Joplin - an open source note taking and to-do application with synchronization capabilities for Windows, macOS, Linux, Android and iOS. Forum: https://discourse.joplinapp.org/",1,2020-12-31
lerna / lerna,https://github.com/lerna/lerna,🐉,1,2020-12-31
ryanmcdermott / clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,🛁,1,2020-12-31
bigbluebutton / bigbluebutton,https://github.com/bigbluebutton/bigbluebutton,Complete open source web conferencing system.,1,2020-12-31
RocketChat / Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,The ultimate Free Open Source Solution for team communications.,1,2020-12-31
serverless / examples,https://github.com/serverless/examples,"Serverless Examples – A collection of boilerplates and examples of serverless architectures built with the Serverless Framework on AWS Lambda, Microsoft Azure, Google Cloud Functions, and more.",1,2020-12-31
mozilla / pdf.js,https://github.com/mozilla/pdf.js,PDF Reader in JavaScript,1,2020-12-31
ishandeveloper / github-wrapped,https://github.com/ishandeveloper/github-wrapped,Take a look back at all the contributions you as an individual made to the open-source community,1,2020-12-31
dani-garcia / bitwarden_rs,https://github.com/dani-garcia/bitwarden_rs,Unofficial Bitwarden compatible server written in Rust,1,2020-12-31
eligrey / FileSaver.js,https://github.com/eligrey/FileSaver.js,An HTML5 saveAs() FileSaver implementation,1,2020-12-31
atlassian / react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,Beautiful and accessible drag and drop for lists with React,1,2020-12-31
heartexlabs / label-studio,https://github.com/heartexlabs/label-studio,Label Studio is a multi-type data labeling and annotation tool with standardized output format,1,2020-12-31
semantic-release / semantic-release,https://github.com/semantic-release/semantic-release,📦,1,2020-12-31
koajs / koa,https://github.com/koajs/koa,Expressive middleware for node.js using ES2017 async functions,1,2020-12-31
openlayers / openlayers,https://github.com/openlayers/openlayers,OpenLayers,1,2020-12-31
rphl / corona-widget,https://github.com/rphl/corona-widget,COVID-19 Inzidenz-Widget für iOS innerhalb Deutschlands,1,2020-12-31
vercel / next.js,https://github.com/vercel/next.js,The React Framework,1,2020-12-31
h5bp / html5-boilerplate,https://github.com/h5bp/html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",1,2020-12-31
react-bootstrap / react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,Bootstrap components built with React,1,2020-12-31
BrasilAPI / BrasilAPI,https://github.com/BrasilAPI/BrasilAPI,Vamos transformar o Brasil em uma API?,1,2020-12-31
microsoft / Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",1,2020-12-30
AMAI-GmbH / AI-Expert-Roadmap,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,Roadmap to becoming an Artificial Intelligence Expert in 2020,1,2020-12-30
iptv-org / iptv,https://github.com/iptv-org/iptv,Collection of 5000+ publicly available IPTV channels from all over the world,1,2020-12-30
laurent22 / joplin,https://github.com/laurent22/joplin,"Joplin - an open source note taking and to-do application with synchronization capabilities for Windows, macOS, Linux, Android and iOS. Forum: https://discourse.joplinapp.org/",1,2020-12-30
ccxt / ccxt,https://github.com/ccxt/ccxt,A JavaScript / Python / PHP cryptocurrency trading API with support for more than 120 bitcoin/altcoin exchanges,1,2020-12-30
dushixiang / next-terminal,https://github.com/dushixiang/next-terminal,Next Terminal是使用Golang和React开发的一款HTML5的远程桌面网关，具有小巧、易安装、易使用、资源占用小的特点，支持RDP、SSH、VNC和Telnet协议的连接和管理。,1,2020-12-30
